"domain","ip_address","traceroute_result"
"google.com","74.125.21.100","Трассировка маршрута к 74.125.21.100 с максимальным числом прыжков 15

  1    <1 мс    <1 мс    <1 мс  192.168.3.1 
  2    <1 мс    <1 мс    <1 мс  10.3.128.1 
  3     1 ms    <1 мс    <1 мс  84.237.49.5 
  4     1 ms    <1 мс    <1 мс  84.237.49.138 
  5     1 ms     1 ms     6 ms  95.170.130.189 
  6    49 ms    49 ms    49 ms  85.112.122.5 
  7    49 ms    49 ms    49 ms  195.208.208.232 
  8    50 ms     *       50 ms  192.178.241.55 
  9    51 ms    50 ms    50 ms  192.178.241.70 
 10    73 ms    74 ms    73 ms  142.251.79.148 
 11    84 ms    84 ms    84 ms  216.239.63.61 
 12   162 ms   162 ms   162 ms  192.178.80.71 
 13   171 ms   170 ms   170 ms  192.178.81.153 
 14   175 ms   176 ms   176 ms  142.251.254.60 
 15   174 ms   173 ms   173 ms  72.14.239.250 

Трассировка завершена."
"github.com","140.82.121.3","Трассировка маршрута к 140.82.121.3 с максимальным числом прыжков 15

  1    <1 мс    <1 мс    <1 мс  192.168.3.1 
  2     1 ms     1 ms    <1 мс  10.3.128.1 
  3     1 ms     1 ms     1 ms  84.237.49.5 
  4     1 ms     1 ms    <1 мс  84.237.49.138 
  5     3 ms     3 ms     1 ms  95.170.130.189 
  6     1 ms     1 ms     1 ms  188.234.79.52 
  7    40 ms    40 ms    41 ms  213.248.97.53 
  8    50 ms    51 ms    50 ms  213.248.97.52 
  9    61 ms    61 ms    61 ms  62.115.139.51 
 10    82 ms    81 ms    81 ms  62.115.138.105 
 11    82 ms    81 ms    94 ms  62.115.124.119 
 12    79 ms    79 ms    79 ms  62.115.182.171 
 13     *        *        *     Превышен интервал ожидания для запроса.
 14     *        *        *     Превышен интервал ожидания для запроса.
 15    81 ms    81 ms    80 ms  140.82.121.3 

Трассировка завершена."
"example.com","8.6.112.0","Трассировка маршрута к 8.6.112.0 с максимальным числом прыжков 15

  1    <1 мс    <1 мс    <1 мс  192.168.3.1 
  2    <1 мс    <1 мс    <1 мс  10.3.128.1 
  3     1 ms     1 ms    <1 мс  84.237.49.5 
  4     1 ms    <1 мс     1 ms  84.237.49.138 
  5     2 ms     2 ms     1 ms  95.170.130.189 
  6    53 ms    53 ms    53 ms  85.112.122.5 
  7    90 ms    90 ms    90 ms  80.81.194.180 
  8    90 ms    90 ms    90 ms  162.158.84.17 
  9    88 ms    88 ms    88 ms  8.6.112.0 

Трассировка завершена."
"yandex.ru","77.88.55.88","Трассировка маршрута к 77.88.55.88 с максимальным числом прыжков 15

  1    <1 мс    <1 мс    <1 мс  192.168.3.1 
  2    <1 мс    <1 мс    <1 мс  10.3.128.1 
  3     1 ms     1 ms     1 ms  84.237.49.5 
  4     1 ms    <1 мс    <1 мс  84.237.49.138 
  5     1 ms     1 ms     1 ms  95.170.130.189 
  6    60 ms    60 ms    60 ms  194.226.100.90 
  7    68 ms    68 ms    68 ms  87.250.239.59 
  8     *        *        *     Превышен интервал ожидания для запроса.
  9     *        *        *     Превышен интервал ожидания для запроса.
 10    66 ms    67 ms    67 ms  77.88.55.88 

Трассировка завершена."
